Country of residence,Origin,Year,Month,Values
Germany,Mali,2005,May,2
Germany,Mali,2005,June,4
Germany,Mali,2005,July,5
Germany,Mali,2005,September,3
Germany,Mali,2005,October,1
Germany,Mali,2005,November,1
Germany,Mali,2005,December,2
Greece,Mali,2005,September,1
Ireland,Mali,2005,July,1
Luxembourg,Mali,2005,September,1
Malta,Mali,2005,November,1
Netherlands,Mali,2005,April,1
Netherlands,Mali,2005,May,2
Netherlands,Mali,2005,July,1
Netherlands,Mali,2005,December,1
New Zealand,Mali,2005,April,3
Norway,Mali,2005,December,1
Rep. of Korea,Mali,2005,May,1
Spain,Mali,2005,January,11
Spain,Mali,2005,February,40
Spain,Mali,2005,March,89
Spain,Mali,2005,April,2
Spain,Mali,2005,May,5
Spain,Mali,2005,June,5
Spain,Mali,2005,July,9
Spain,Mali,2005,August,5
Spain,Mali,2005,September,10
Spain,Mali,2005,October,64
Spain,Mali,2005,November,29
Spain,Mali,2005,December,4
Sweden,Mali,2005,August,1
Sweden,Mali,2005,November,2
Sweden,Mali,2005,December,1
Switzerland,Mali,2005,January,2
Switzerland,Mali,2005,February,1
Switzerland,Mali,2005,March,1
Switzerland,Mali,2005,April,2
Switzerland,Mali,2005,May,3
Switzerland,Mali,2005,June,3
Switzerland,Mali,2005,August,3
Switzerland,Mali,2005,September,1
Switzerland,Mali,2005,October,2
Switzerland,Mali,2005,November,3
Switzerland,Mali,2005,December,2
United Kingdom of Great Britain and Northern Ireland,Mali,2005,March,1
United Kingdom of Great Britain and Northern Ireland,Mali,2005,April,2
United Kingdom of Great Britain and Northern Ireland,Mali,2005,May,2
United Kingdom of Great Britain and Northern Ireland,Mali,2005,August,2
United Kingdom of Great Britain and Northern Ireland,Mali,2005,September,1
United Kingdom of Great Britain and Northern Ireland,Mali,2005,November,1
United Kingdom of Great Britain and Northern Ireland,Mali,2005,December,1
USA (EOIR),Mali,2005,March,1
USA (EOIR),Mali,2005,April,1
USA (EOIR),Mali,2005,May,1
USA (EOIR),Mali,2005,June,1
USA (EOIR),Mali,2005,August,1
USA (EOIR),Mali,2005,September,1
USA (EOIR),Mali,2005,November,1
USA (INS/DHS),Mali,2005,January,10
USA (INS/DHS),Mali,2005,February,10
USA (INS/DHS),Mali,2005,March,17
USA (INS/DHS),Mali,2005,April,14
USA (INS/DHS),Mali,2005,May,15
USA (INS/DHS),Mali,2005,June,17
USA (INS/DHS),Mali,2005,July,10
USA (INS/DHS),Mali,2005,August,18
USA (INS/DHS),Mali,2005,September,13
USA (INS/DHS),Mali,2005,October,14
USA (INS/DHS),Mali,2005,November,18
USA (INS/DHS),Mali,2005,December,19
Australia,Mali,2006,August,1
Austria,Mali,2006,January,1
Austria,Mali,2006,February,1
Austria,Mali,2006,August,2
Austria,Mali,2006,October,3
Austria,Mali,2006,November,1
Belgium,Mali,2006,March,1
Belgium,Mali,2006,May,1
Canada,Mali,2006,January,2
Canada,Mali,2006,February,1
Canada,Mali,2006,March,2
Canada,Mali,2006,May,1
Canada,Mali,2006,June,3
Canada,Mali,2006,July,3
Canada,Mali,2006,August,1
Canada,Mali,2006,September,2
Canada,Mali,2006,October,2
Canada,Mali,2006,November,2
Czech Rep.,Mali,2006,January,1
Denmark,Mali,2006,September,1
Finland,Mali,2006,December,4
France,Mali,2006,January,17
France,Mali,2006,February,16
France,Mali,2006,March,11
France,Mali,2006,April,17
France,Mali,2006,May,15
France,Mali,2006,June,9
France,Mali,2006,July,14
France,Mali,2006,August,12
France,Mali,2006,September,8
France,Mali,2006,October,8
France,Mali,2006,November,20
France,Mali,2006,December,6
Germany,Mali,2006,January,2
Germany,Mali,2006,February,4
Germany,Mali,2006,March,5
Germany,Mali,2006,August,3
Germany,Mali,2006,October,1
Germany,Mali,2006,November,1
Greece,Mali,2006,March,1
Greece,Mali,2006,October,1
Ireland,Mali,2006,February,1
Ireland,Mali,2006,March,1
Japan,Mali,2006,September,1
Luxembourg,Mali,2006,October,1
Malta,Mali,2006,May,1
Malta,Mali,2006,July,1
Malta,Mali,2006,August,1
Malta,Mali,2006,November,2
Netherlands,Mali,2006,September,1
Norway,Mali,2006,July,1
Norway,Mali,2006,August,1
Spain,Mali,2006,January,1
Spain,Mali,2006,February,2
Spain,Mali,2006,March,3
Spain,Mali,2006,April,2
Spain,Mali,2006,May,3
Spain,Mali,2006,June,6
Spain,Mali,2006,July,3
Spain,Mali,2006,August,3
Spain,Mali,2006,September,1
Spain,Mali,2006,December,1
Sweden,Mali,2006,May,1
Switzerland,Mali,2006,January,5
Switzerland,Mali,2006,February,3
Switzerland,Mali,2006,March,2
Switzerland,Mali,2006,April,1
Switzerland,Mali,2006,May,3
Switzerland,Mali,2006,August,2
Switzerland,Mali,2006,September,1
Switzerland,Mali,2006,October,1
Switzerland,Mali,2006,December,1
United Kingdom of Great Britain and Northern Ireland,Mali,2006,January,1
United Kingdom of Great Britain and Northern Ireland,Mali,2006,April,2
United Kingdom of Great Britain and Northern Ireland,Mali,2006,July,1
United Kingdom of Great Britain and Northern Ireland,Mali,2006,October,1
USA (EOIR),Mali,2006,January,1
USA (EOIR),Mali,2006,February,2
USA (EOIR),Mali,2006,March,3
USA (EOIR),Mali,2006,May,3
USA (EOIR),Mali,2006,June,1
USA (EOIR),Mali,2006,July,1
USA (EOIR),Mali,2006,August,2
USA (EOIR),Mali,2006,September,1
USA (EOIR),Mali,2006,October,2
USA (EOIR),Mali,2006,November,2
USA (EOIR),Mali,2006,December,3
USA (INS/DHS),Mali,2006,January,19
USA (INS/DHS),Mali,2006,February,23
USA (INS/DHS),Mali,2006,March,16
USA (INS/DHS),Mali,2006,April,15
USA (INS/DHS),Mali,2006,May,14
USA (INS/DHS),Mali,2006,June,11
USA (INS/DHS),Mali,2006,July,16
USA (INS/DHS),Mali,2006,August,26
USA (INS/DHS),Mali,2006,September,12
USA (INS/DHS),Mali,2006,October,28
USA (INS/DHS),Mali,2006,November,17
USA (INS/DHS),Mali,2006,December,14
Australia,Mali,2007,March,1
Austria,Mali,2007,February,2
Austria,Mali,2007,November,2
Austria,Mali,2007,December,1
Belgium,Mali,2007,May,2
Belgium,Mali,2007,June,2
Canada,Mali,2007,February,1
Canada,Mali,2007,March,1
Canada,Mali,2007,May,3
Canada,Mali,2007,June,1
Canada,Mali,2007,August,1
Canada,Mali,2007,September,3
Canada,Mali,2007,October,2
Canada,Mali,2007,November,1
Canada,Mali,2007,December,1
Cyprus,Mali,2007,July,1
Czech Rep.,Mali,2007,January,2
France,Mali,2007,January,15
France,Mali,2007,February,17
France,Mali,2007,March,25
France,Mali,2007,April,29
France,Mali,2007,May,39
France,Mali,2007,June,45
France,Mali,2007,July,56
France,Mali,2007,August,52
France,Mali,2007,September,35
France,Mali,2007,October,69
France,Mali,2007,November,88
France,Mali,2007,December,137
Germany,Mali,2007,January,5
Germany,Mali,2007,February,1
Germany,Mali,2007,April,5
Germany,Mali,2007,May,1
Germany,Mali,2007,June,1
Germany,Mali,2007,August,2
Germany,Mali,2007,November,1
Greece,Mali,2007,October,1
Greece,Mali,2007,November,2
Greece,Mali,2007,December,2
Ireland,Mali,2007,May,1
Ireland,Mali,2007,June,0
Luxembourg,Mali,2007,June,1
Malta,Mali,2007,February,16
Malta,Mali,2007,April,2
Malta,Mali,2007,June,8
Malta,Mali,2007,July,12
Malta,Mali,2007,August,4
Malta,Mali,2007,September,1
Malta,Mali,2007,October,3
Netherlands,Mali,2007,October,1
Netherlands,Mali,2007,November,1
Poland,Mali,2007,January,1
Poland,Mali,2007,October,2
Spain,Mali,2007,January,1
Spain,Mali,2007,June,1
Spain,Mali,2007,October,1
Spain,Mali,2007,November,2
Spain,Mali,2007,December,1
Sweden,Mali,2007,August,1
Switzerland,Mali,2007,June,2
Switzerland,Mali,2007,August,1
Switzerland,Mali,2007,October,1
Switzerland,Mali,2007,November,5
United Kingdom of Great Britain and Northern Ireland,Mali,2007,January,1
United Kingdom of Great Britain and Northern Ireland,Mali,2007,April,1
United Kingdom of Great Britain and Northern Ireland,Mali,2007,July,1
United Kingdom of Great Britain and Northern Ireland,Mali,2007,September,3
United Kingdom of Great Britain and Northern Ireland,Mali,2007,December,1
USA (EOIR),Mali,2007,January,5
USA (EOIR),Mali,2007,February,1
USA (EOIR),Mali,2007,March,3
USA (EOIR),Mali,2007,April,3
USA (EOIR),Mali,2007,May,4
USA (EOIR),Mali,2007,June,3
USA (EOIR),Mali,2007,July,3
USA (EOIR),Mali,2007,September,3
USA (EOIR),Mali,2007,October,3
USA (EOIR),Mali,2007,November,1
USA (INS/DHS),Mali,2007,January,11
USA (INS/DHS),Mali,2007,February,29
USA (INS/DHS),Mali,2007,March,30
USA (INS/DHS),Mali,2007,April,25
USA (INS/DHS),Mali,2007,May,24
USA (INS/DHS),Mali,2007,June,32
USA (INS/DHS),Mali,2007,July,28
USA (INS/DHS),Mali,2007,August,30
USA (INS/DHS),Mali,2007,September,30
USA (INS/DHS),Mali,2007,October,30
USA (INS/DHS),Mali,2007,November,19
USA (INS/DHS),Mali,2007,December,14
Austria,Mali,2008,June,1
Austria,Mali,2008,September,1
Austria,Mali,2008,October,1
Austria,Mali,2008,November,1
Austria,Mali,2008,December,1
Belgium,Mali,2008,January,1
Belgium,Mali,2008,February,1
Belgium,Mali,2008,July,2
Belgium,Mali,2008,August,1
Canada,Mali,2008,January,4
Canada,Mali,2008,February,1
Canada,Mali,2008,March,1
Canada,Mali,2008,April,1
Canada,Mali,2008,May,1
Canada,Mali,2008,June,1
Canada,Mali,2008,July,1
Canada,Mali,2008,August,1
Canada,Mali,2008,October,1
Canada,Mali,2008,November,1
Canada,Mali,2008,December,2
Cyprus,Mali,2008,February,1
Czech Rep.,Mali,2008,January,1
France,Mali,2008,January,166
France,Mali,2008,February,131
France,Mali,2008,March,214
France,Mali,2008,April,407
France,Mali,2008,May,323
France,Mali,2008,June,329
France,Mali,2008,July,294
France,Mali,2008,August,201
France,Mali,2008,September,214
France,Mali,2008,October,174
France,Mali,2008,November,117
France,Mali,2008,December,94
Germany,Mali,2008,January,1
Germany,Mali,2008,February,1
Germany,Mali,2008,April,1
Germany,Mali,2008,May,1
Germany,Mali,2008,June,2
Germany,Mali,2008,July,2
Germany,Mali,2008,September,1
Germany,Mali,2008,October,1
Greece,Mali,2008,February,1
Greece,Mali,2008,September,1
Ireland,Mali,2008,February,1
Ireland,Mali,2008,August,1
Italy,Mali,2008,January,21
Italy,Mali,2008,March,2
Italy,Mali,2008,April,4
Italy,Mali,2008,May,2
Italy,Mali,2008,June,18
Italy,Mali,2008,July,96
Italy,Mali,2008,August,136
Italy,Mali,2008,September,62
Italy,Mali,2008,October,86
Italy,Mali,2008,November,42
Italy,Mali,2008,December,21
Japan,Mali,2008,January,1
Japan,Mali,2008,May,1
Japan,Mali,2008,December,1
Malta,Mali,2008,March,15
Malta,Mali,2008,April,6
Malta,Mali,2008,May,10
Malta,Mali,2008,June,14
Malta,Mali,2008,July,37
Malta,Mali,2008,August,39
Malta,Mali,2008,September,28
Malta,Mali,2008,October,8
Malta,Mali,2008,November,38
Malta,Mali,2008,December,13
Netherlands,Mali,2008,June,1
Netherlands,Mali,2008,August,2
Netherlands,Mali,2008,October,1
Norway,Mali,2008,November,1
Poland,Mali,2008,June,1
Spain,Mali,2008,January,3
Spain,Mali,2008,June,1
Spain,Mali,2008,July,1
Spain,Mali,2008,September,2
Spain,Mali,2008,October,1
Spain,Mali,2008,November,1
Spain,Mali,2008,December,2
Sweden,Mali,2008,February,1
Sweden,Mali,2008,March,1
Sweden,Mali,2008,April,1
Sweden,Mali,2008,June,2
Sweden,Mali,2008,October,1
Switzerland,Mali,2008,January,2
Switzerland,Mali,2008,February,3
Switzerland,Mali,2008,March,1
Switzerland,Mali,2008,May,1
Switzerland,Mali,2008,June,3
Switzerland,Mali,2008,July,3
Switzerland,Mali,2008,August,3
Switzerland,Mali,2008,September,4
Switzerland,Mali,2008,October,1
Switzerland,Mali,2008,November,3
Switzerland,Mali,2008,December,2
Turkey,Mali,2008,November,1
United Kingdom of Great Britain and Northern Ireland,Mali,2008,February,1
United Kingdom of Great Britain and Northern Ireland,Mali,2008,March,1
United Kingdom of Great Britain and Northern Ireland,Mali,2008,May,2
United Kingdom of Great Britain and Northern Ireland,Mali,2008,December,1
USA (EOIR),Mali,2008,January,7
USA (EOIR),Mali,2008,February,4
USA (EOIR),Mali,2008,March,4
USA (EOIR),Mali,2008,April,2
USA (EOIR),Mali,2008,May,6
USA (EOIR),Mali,2008,July,6
USA (EOIR),Mali,2008,August,4
USA (EOIR),Mali,2008,September,2
USA (EOIR),Mali,2008,October,2
USA (EOIR),Mali,2008,November,1
USA (EOIR),Mali,2008,December,2
USA (INS/DHS),Mali,2008,January,18
USA (INS/DHS),Mali,2008,February,12
USA (INS/DHS),Mali,2008,March,13
USA (INS/DHS),Mali,2008,April,16
USA (INS/DHS),Mali,2008,May,12
USA (INS/DHS),Mali,2008,June,3
USA (INS/DHS),Mali,2008,July,20
USA (INS/DHS),Mali,2008,August,20
USA (INS/DHS),Mali,2008,September,10
USA (INS/DHS),Mali,2008,October,18
USA (INS/DHS),Mali,2008,November,15
USA (INS/DHS),Mali,2008,December,9
Austria,Mali,2009,January,2
Austria,Mali,2009,February,1
Austria,Mali,2009,May,1
Austria,Mali,2009,July,2
Austria,Mali,2009,September,1
Austria,Mali,2009,October,1
Austria,Mali,2009,November,1
Belgium,Mali,2009,March,2
Belgium,Mali,2009,May,1
Belgium,Mali,2009,June,1
Belgium,Mali,2009,July,2
Belgium,Mali,2009,August,1
Belgium,Mali,2009,September,1
Belgium,Mali,2009,December,1
Canada,Mali,2009,February,1
Canada,Mali,2009,March,2
Canada,Mali,2009,April,1
Canada,Mali,2009,May,1
Canada,Mali,2009,June,1
Canada,Mali,2009,July,2
Canada,Mali,2009,August,1
Canada,Mali,2009,October,1
Canada,Mali,2009,November,1
Canada,Mali,2009,December,1
Cyprus,Mali,2009,May,2
Cyprus,Mali,2009,November,2
Cyprus,Mali,2009,December,1
Denmark,Mali,2009,May,1
Denmark,Mali,2009,August,1
Finland,Mali,2009,May,1
France,Mali,2009,January,59
France,Mali,2009,February,74
France,Mali,2009,March,63
France,Mali,2009,April,70
France,Mali,2009,May,69
France,Mali,2009,June,41
France,Mali,2009,July,69
France,Mali,2009,August,45
France,Mali,2009,September,45
France,Mali,2009,October,33
France,Mali,2009,November,61
France,Mali,2009,December,72
Germany,Mali,2009,March,1
Germany,Mali,2009,April,2
Germany,Mali,2009,May,3
Germany,Mali,2009,July,3
Germany,Mali,2009,August,3
Germany,Mali,2009,October,1
Germany,Mali,2009,November,1
Greece,Mali,2009,February,2
Greece,Mali,2009,March,1
Italy,Mali,2009,January,10
Italy,Mali,2009,February,5
Italy,Mali,2009,April,30
Italy,Mali,2009,May,70
Italy,Mali,2009,June,20
Italy,Mali,2009,July,10
Italy,Mali,2009,September,10
Italy,Mali,2009,October,5
Italy,Mali,2009,November,5
Italy,Mali,2009,December,5
Japan,Mali,2009,July,1
Japan,Mali,2009,August,1
Japan,Mali,2009,November,1
Luxembourg,Mali,2009,April,1
Luxembourg,Mali,2009,June,1
Luxembourg,Mali,2009,July,1
Malta,Mali,2009,February,4
Malta,Mali,2009,March,2
Malta,Mali,2009,April,11
Malta,Mali,2009,May,23
Malta,Mali,2009,June,7
Malta,Mali,2009,July,7
Malta,Mali,2009,August,16
Malta,Mali,2009,September,2
Malta,Mali,2009,October,19
Malta,Mali,2009,November,13
Netherlands,Mali,2009,January,1
Netherlands,Mali,2009,April,1
Netherlands,Mali,2009,May,1
Netherlands,Mali,2009,June,1
Netherlands,Mali,2009,September,1
Netherlands,Mali,2009,December,1
Norway,Mali,2009,February,1
Norway,Mali,2009,March,1
Norway,Mali,2009,April,1
Norway,Mali,2009,May,1
Norway,Mali,2009,November,1
Poland,Mali,2009,May,1
Spain,Mali,2009,January,3
Spain,Mali,2009,February,3
Spain,Mali,2009,March,1
Spain,Mali,2009,April,3
Spain,Mali,2009,May,4
Spain,Mali,2009,June,3
Spain,Mali,2009,July,2
Spain,Mali,2009,August,2
Spain,Mali,2009,September,2
Spain,Mali,2009,October,1
Spain,Mali,2009,November,2
Spain,Mali,2009,December,3
Sweden,Mali,2009,March,1
Sweden,Mali,2009,July,1
Sweden,Mali,2009,August,2
Switzerland,Mali,2009,January,4
Switzerland,Mali,2009,February,3
Switzerland,Mali,2009,March,4
Switzerland,Mali,2009,May,4
Switzerland,Mali,2009,June,3
Switzerland,Mali,2009,July,3
Switzerland,Mali,2009,August,7
Switzerland,Mali,2009,October,1
Switzerland,Mali,2009,November,1
Switzerland,Mali,2009,December,2
Turkey,Mali,2009,May,2
Turkey,Mali,2009,August,1
United Kingdom of Great Britain and Northern Ireland,Mali,2009,January,1
United Kingdom of Great Britain and Northern Ireland,Mali,2009,March,1
United Kingdom of Great Britain and Northern Ireland,Mali,2009,April,1
United Kingdom of Great Britain and Northern Ireland,Mali,2009,August,1
United Kingdom of Great Britain and Northern Ireland,Mali,2009,November,2
United Kingdom of Great Britain and Northern Ireland,Mali,2009,December,1
USA (EOIR),Mali,2009,January,5
USA (EOIR),Mali,2009,February,3
USA (EOIR),Mali,2009,March,4
USA (EOIR),Mali,2009,April,1
USA (EOIR),Mali,2009,May,4
USA (EOIR),Mali,2009,June,2
USA (EOIR),Mali,2009,July,4
USA (EOIR),Mali,2009,August,3
USA (EOIR),Mali,2009,September,4
USA (EOIR),Mali,2009,December,4
USA (INS/DHS),Mali,2009,January,16
USA (INS/DHS),Mali,2009,February,15
USA (INS/DHS),Mali,2009,March,13
USA (INS/DHS),Mali,2009,April,17
USA (INS/DHS),Mali,2009,May,14
USA (INS/DHS),Mali,2009,June,18
USA (INS/DHS),Mali,2009,July,20
USA (INS/DHS),Mali,2009,August,15
USA (INS/DHS),Mali,2009,September,26
USA (INS/DHS),Mali,2009,October,16
USA (INS/DHS),Mali,2009,November,19
USA (INS/DHS),Mali,2009,December,9
Austria,Mali,2010,February,3
Austria,Mali,2010,March,2
Austria,Mali,2010,April,1
Austria,Mali,2010,May,4
Austria,Mali,2010,June,1
Austria,Mali,2010,August,3
Austria,Mali,2010,September,2
Austria,Mali,2010,October,4
Austria,Mali,2010,November,5
Austria,Mali,2010,December,1
Belgium,Mali,2010,January,3
Belgium,Mali,2010,March,2
Belgium,Mali,2010,April,1
Belgium,Mali,2010,June,1
Belgium,Mali,2010,July,1
Belgium,Mali,2010,August,2
Belgium,Mali,2010,September,1
Belgium,Mali,2010,October,3
Belgium,Mali,2010,November,5
Canada,Mali,2010,January,1
Canada,Mali,2010,March,1
Canada,Mali,2010,April,1
Canada,Mali,2010,June,1
Canada,Mali,2010,July,1
Canada,Mali,2010,September,1
Canada,Mali,2010,November,1
Cyprus,Mali,2010,March,1
Cyprus,Mali,2010,April,1
Cyprus,Mali,2010,June,2
Cyprus,Mali,2010,August,2
Cyprus,Mali,2010,December,1
Finland,Mali,2010,March,1
Finland,Mali,2010,December,1
France,Mali,2010,January,44
France,Mali,2010,February,57
France,Mali,2010,March,57
France,Mali,2010,April,87
France,Mali,2010,May,77
France,Mali,2010,June,54
France,Mali,2010,July,82
France,Mali,2010,August,40
France,Mali,2010,September,59
France,Mali,2010,October,70
France,Mali,2010,November,41
France,Mali,2010,December,34
Germany,Mali,2010,January,1
Germany,Mali,2010,February,3
Germany,Mali,2010,March,3
Germany,Mali,2010,April,1
Germany,Mali,2010,May,3
Germany,Mali,2010,June,8
Germany,Mali,2010,July,1
Germany,Mali,2010,August,1
Germany,Mali,2010,September,1
Germany,Mali,2010,October,1
Germany,Mali,2010,November,3
Greece,Mali,2010,October,1
Greece,Mali,2010,November,1
Italy,Mali,2010,January,2
Italy,Mali,2010,February,3
Italy,Mali,2010,March,9
Italy,Mali,2010,April,6
Italy,Mali,2010,May,25
Italy,Mali,2010,June,2
Italy,Mali,2010,July,4
Italy,Mali,2010,August,5
Italy,Mali,2010,September,2
Italy,Mali,2010,October,3
Italy,Mali,2010,November,4
Italy,Mali,2010,December,2
Japan,Mali,2010,November,2
Luxembourg,Mali,2010,September,1
Luxembourg,Mali,2010,October,1
Netherlands,Mali,2010,February,10
Netherlands,Mali,2010,March,4
Netherlands,Mali,2010,April,2
Netherlands,Mali,2010,May,1
Netherlands,Mali,2010,June,1
Netherlands,Mali,2010,July,1
Netherlands,Mali,2010,August,1
Netherlands,Mali,2010,September,1
Norway,Mali,2010,April,1
Norway,Mali,2010,May,1
Norway,Mali,2010,August,1
Norway,Mali,2010,September,1
Poland,Mali,2010,January,1
Rep. of Korea,Mali,2010,October,1
Spain,Mali,2010,January,1
Spain,Mali,2010,March,2
Spain,Mali,2010,April,2
Spain,Mali,2010,June,2
Spain,Mali,2010,July,2
Spain,Mali,2010,August,2
Spain,Mali,2010,September,1
Spain,Mali,2010,October,1
Spain,Mali,2010,November,1
Sweden,Mali,2010,March,2
Sweden,Mali,2010,May,1
Sweden,Mali,2010,September,2
Sweden,Mali,2010,December,2
Switzerland,Mali,2010,January,5
Switzerland,Mali,2010,February,5
Switzerland,Mali,2010,March,6
Switzerland,Mali,2010,April,5
